Bottle,Price,Weight,Cold Temp,Heat Loss,Heat loss ambient,Durability,link,imageLink
Bubba Flo,10.50,273,72.1,273,75,6,https://amzn.to/3rQsHRY,bubbaFlo
HydroFlask Sport,35.95,310.7,55.4,56.5,16.5,8,https://amzn.to/2X2pY9V,hydroflaskSport
Contigo Couture,12.14,324.7,58.7,77.8,23.5,5,https://amzn.to/3n2A8SI,contigoCouture
East Rim,18.99,327.7,60.6,74.3,23.3,9,https://amzn.to/2JK2mEg,eastRim
HydroFlask Standard,32.95,333.1,55.4,57,16.8,8,https://amzn.to/3rQKuIM,hydroflaskStandard
Aquatix,16.95,334.4,52.8,70.4,23.6,3,https://amzn.to/3pMpwJc,aquatix
Klean Kanteen,21.95,359.8,52.9,72.2,22.3,7,https://amzn.to/2Mi5N5N,kleankanteen
Hydrology,21.95,381.4,57.1,63.2,18.3,9,https://amzn.to/3pNjzvV,hydrology
Brita,23.72,391.6,57.5,273,75,8,https://amzn.to/3b3dBmn,brita
Coleman Freeflow,16.99,407.7,54.5,70.3,19.9,9,https://amzn.to/3pLGPui,coleman
ThermoFlask,17.99,408.2,56.7,74.8,21.9,8,https://amzn.to/3pNauD1,thermoflask
Under Armour,24.99,424.8,55.7,71.1,23.2,5,https://amzn.to/353A27e,underarmour
Stanley Classic,39.99,482.3,50.6,72.6,21.3,9,https://amzn.to/3pHec19,stanley
YETI Rambler,29.95,562.45,57.9,88,25,9,https://amzn.to/3aYQhpT,yeti
